Time;Usage default  upgradeplanner;Limit default  backend-v1
2020-05-25T11:40:15.000Z;null;null
2020-05-25T11:40:30.000Z;null;null
2020-05-25T11:40:45.000Z;null;null
2020-05-25T11:41:00.000Z;41;300
2020-05-25T11:41:15.000Z;null;null
2020-05-25T11:41:30.000Z;null;null
2020-05-25T11:41:45.000Z;null;null
2020-05-25T11:42:00.000Z;33;500
2020-05-25T11:42:15.000Z;null;null
2020-05-25T11:42:30.000Z;null;null
2020-05-25T11:42:45.000Z;null;null
2020-05-25T11:43:00.000Z;34;200
2020-05-25T11:43:15.000Z;null;null
2020-05-25T11:43:30.000Z;null;null
2020-05-25T11:43:45.000Z;null;null
2020-05-25T11:44:00.000Z;30;300
2020-05-25T11:44:15.000Z;null;null
2020-05-25T11:44:30.000Z;null;null
2020-05-25T11:44:45.000Z;null;null
2020-05-25T11:45:00.000Z;37;100
2020-05-25T11:45:15.000Z;null;null
2020-05-25T11:45:30.000Z;null;null
2020-05-25T11:45:45.000Z;null;null
2020-05-25T11:46:00.000Z;35;0
2020-05-25T11:46:15.000Z;null;null
2020-05-25T11:46:30.000Z;null;null
2020-05-25T11:46:45.000Z;null;null
2020-05-25T11:47:00.000Z;5;0
2020-05-25T11:47:15.000Z;null;null
2020-05-25T11:47:30.000Z;null;null
2020-05-25T11:47:45.000Z;null;null
2020-05-25T11:48:00.000Z;3;0
2020-05-25T11:48:15.000Z;null;null
2020-05-25T11:48:30.000Z;null;null
2020-05-25T11:48:45.000Z;null;null
2020-05-25T11:49:00.000Z;2;0
2020-05-25T11:49:15.000Z;null;null
2020-05-25T11:49:30.000Z;null;null
2020-05-25T11:49:45.000Z;null;null
2020-05-25T11:50:00.000Z;null;0
2020-05-25T11:50:15.000Z;null;null
2020-05-25T11:50:30.000Z;null;null
2020-05-25T11:50:45.000Z;null;null
2020-05-25T11:51:00.000Z;null;1300
2020-05-25T11:51:15.000Z;null;null
2020-05-25T11:51:30.000Z;null;null
2020-05-25T11:51:45.000Z;null;null
2020-05-25T11:52:00.000Z;2;1300
2020-05-25T11:52:15.000Z;null;null
2020-05-25T11:52:30.000Z;null;null
2020-05-25T11:52:45.000Z;null;null
2020-05-25T11:53:00.000Z;2;1300
2020-05-25T11:53:15.000Z;null;null
2020-05-25T11:53:30.000Z;null;null
2020-05-25T11:53:45.000Z;null;null
2020-05-25T11:54:00.000Z;3;1300
2020-05-25T11:54:15.000Z;null;null
2020-05-25T11:54:30.000Z;null;null
2020-05-25T11:54:45.000Z;null;null
2020-05-25T11:55:00.000Z;2;1300
2020-05-25T11:55:15.000Z;null;null
2020-05-25T11:55:30.000Z;null;null
2020-05-25T11:55:45.000Z;null;null
2020-05-25T11:56:00.000Z;2;1300
2020-05-25T11:56:15.000Z;null;null
2020-05-25T11:56:30.000Z;null;null
2020-05-25T11:56:45.000Z;null;null
2020-05-25T11:57:00.000Z;1;1300
2020-05-25T11:57:15.000Z;null;null
2020-05-25T11:57:30.000Z;null;null
2020-05-25T11:57:45.000Z;null;null
2020-05-25T11:58:00.000Z;55;1300
2020-05-25T11:58:15.000Z;null;null
2020-05-25T11:58:30.000Z;null;null
2020-05-25T11:58:45.000Z;null;null
2020-05-25T11:59:00.000Z;102;1300
2020-05-25T11:59:15.000Z;null;null
2020-05-25T11:59:30.000Z;null;null
2020-05-25T11:59:45.000Z;null;null
2020-05-25T12:00:00.000Z;5;1300
2020-05-25T12:00:15.000Z;null;null
2020-05-25T12:00:30.000Z;null;null
2020-05-25T12:00:45.000Z;null;null
2020-05-25T12:01:00.000Z;96;1300
2020-05-25T12:01:15.000Z;null;null
2020-05-25T12:01:30.000Z;null;null
2020-05-25T12:01:45.000Z;null;null
2020-05-25T12:02:00.000Z;49;2500
2020-05-25T12:02:15.000Z;null;null
2020-05-25T12:02:30.000Z;null;null
2020-05-25T12:02:45.000Z;null;null
2020-05-25T12:03:00.000Z;82;1200
2020-05-25T12:03:15.000Z;null;null
2020-05-25T12:03:30.000Z;null;null
2020-05-25T12:03:45.000Z;null;null
2020-05-25T12:04:00.000Z;47;2300
2020-05-25T12:04:15.000Z;null;null
2020-05-25T12:04:30.000Z;null;null
2020-05-25T12:04:45.000Z;null;null
2020-05-25T12:05:00.000Z;64;1100
2020-05-25T12:05:15.000Z;null;null
2020-05-25T12:05:30.000Z;null;null
2020-05-25T12:05:45.000Z;null;null
2020-05-25T12:06:00.000Z;40;1000
2020-05-25T12:06:15.000Z;null;null
2020-05-25T12:06:30.000Z;null;null
2020-05-25T12:06:45.000Z;null;null
2020-05-25T12:07:00.000Z;60;1000
2020-05-25T12:07:15.000Z;null;null
2020-05-25T12:07:30.000Z;null;null
2020-05-25T12:07:45.000Z;null;null
2020-05-25T12:08:00.000Z;40;900
2020-05-25T12:08:15.000Z;null;null
2020-05-25T12:08:30.000Z;null;null
2020-05-25T12:08:45.000Z;null;null
2020-05-25T12:09:00.000Z;55;1700
2020-05-25T12:09:15.000Z;null;null
2020-05-25T12:09:30.000Z;null;null
2020-05-25T12:09:45.000Z;null;null
2020-05-25T12:10:00.000Z;62;800
2020-05-25T12:10:15.000Z;null;null
2020-05-25T12:10:30.000Z;null;null
2020-05-25T12:10:45.000Z;null;null
2020-05-25T12:11:00.000Z;40;1500
2020-05-25T12:11:15.000Z;null;null
2020-05-25T12:11:30.000Z;null;null
2020-05-25T12:11:45.000Z;null;null
2020-05-25T12:12:00.000Z;51;700
2020-05-25T12:12:15.000Z;null;null
2020-05-25T12:12:30.000Z;null;null
2020-05-25T12:12:45.000Z;null;null
2020-05-25T12:13:00.000Z;36;600
2020-05-25T12:13:15.000Z;null;null
2020-05-25T12:13:30.000Z;null;null
2020-05-25T12:13:45.000Z;null;null
2020-05-25T12:14:00.000Z;48;600
2020-05-25T12:14:15.000Z;null;null
2020-05-25T12:14:30.000Z;null;null
2020-05-25T12:14:45.000Z;null;null
2020-05-25T12:15:00.000Z;47;500
2020-05-25T12:15:15.000Z;null;null
2020-05-25T12:15:30.000Z;null;null
2020-05-25T12:15:45.000Z;null;null
2020-05-25T12:16:00.000Z;52;900
2020-05-25T12:16:15.000Z;null;null
2020-05-25T12:16:30.000Z;null;null
2020-05-25T12:16:45.000Z;null;null
2020-05-25T12:17:00.000Z;40;400
2020-05-25T12:17:15.000Z;null;null
2020-05-25T12:17:30.000Z;null;null
2020-05-25T12:17:45.000Z;null;null
2020-05-25T12:18:00.000Z;32;700
2020-05-25T12:18:15.000Z;null;null
2020-05-25T12:18:30.000Z;null;null
2020-05-25T12:18:45.000Z;null;null
2020-05-25T12:19:00.000Z;45;300
2020-05-25T12:19:15.000Z;null;null
2020-05-25T12:19:30.000Z;null;null
2020-05-25T12:19:45.000Z;null;null
2020-05-25T12:20:00.000Z;36;500
2020-05-25T12:20:15.000Z;null;null
2020-05-25T12:20:30.000Z;null;null
2020-05-25T12:20:45.000Z;null;null
2020-05-25T12:21:00.000Z;34;200
2020-05-25T12:21:15.000Z;null;null
2020-05-25T12:21:30.000Z;null;null
2020-05-25T12:21:45.000Z;null;null
2020-05-25T12:22:00.000Z;31;300
2020-05-25T12:22:15.000Z;null;null
2020-05-25T12:22:30.000Z;null;null
2020-05-25T12:22:45.000Z;null;null
2020-05-25T12:23:00.000Z;36;100
2020-05-25T12:23:15.000Z;null;null
2020-05-25T12:23:30.000Z;null;null
2020-05-25T12:23:45.000Z;null;null
2020-05-25T12:24:00.000Z;38;0
2020-05-25T12:24:15.000Z;null;null
2020-05-25T12:24:30.000Z;null;null
2020-05-25T12:24:45.000Z;null;null
2020-05-25T12:25:00.000Z;8;0
2020-05-25T12:25:15.000Z;null;null
2020-05-25T12:25:30.000Z;null;null
2020-05-25T12:25:45.000Z;null;null
2020-05-25T12:26:00.000Z;3;0
2020-05-25T12:26:15.000Z;null;null
2020-05-25T12:26:30.000Z;null;null
2020-05-25T12:26:45.000Z;null;null
2020-05-25T12:27:00.000Z;3;0
2020-05-25T12:27:15.000Z;null;null
2020-05-25T12:27:30.000Z;null;null
2020-05-25T12:27:45.000Z;null;null
2020-05-25T12:28:00.000Z;null;0
2020-05-25T12:28:15.000Z;null;null
2020-05-25T12:28:30.000Z;null;null
2020-05-25T12:28:45.000Z;null;null
2020-05-25T12:29:00.000Z;null;1300
2020-05-25T12:29:15.000Z;null;null
2020-05-25T12:29:30.000Z;null;null
2020-05-25T12:29:45.000Z;null;null
2020-05-25T12:30:00.000Z;2;1300
2020-05-25T12:30:15.000Z;null;null
2020-05-25T12:30:30.000Z;null;null
2020-05-25T12:30:45.000Z;null;null
2020-05-25T12:31:00.000Z;2;1300
2020-05-25T12:31:15.000Z;null;null
2020-05-25T12:31:30.000Z;null;null
2020-05-25T12:31:45.000Z;null;null
2020-05-25T12:32:00.000Z;2;1300
2020-05-25T12:32:15.000Z;null;null
2020-05-25T12:32:30.000Z;null;null
2020-05-25T12:32:45.000Z;null;null
2020-05-25T12:33:00.000Z;2;1300
2020-05-25T12:33:15.000Z;null;null
2020-05-25T12:33:30.000Z;null;null
2020-05-25T12:33:45.000Z;null;null
2020-05-25T12:34:00.000Z;2;1300
2020-05-25T12:34:15.000Z;null;null
2020-05-25T12:34:30.000Z;null;null
2020-05-25T12:34:45.000Z;null;null
2020-05-25T12:35:00.000Z;1;1300
2020-05-25T12:35:15.000Z;null;null
2020-05-25T12:35:30.000Z;null;null
2020-05-25T12:35:45.000Z;null;null
2020-05-25T12:36:00.000Z;1;1300
2020-05-25T12:36:15.000Z;null;null
2020-05-25T12:36:30.000Z;null;null
2020-05-25T12:36:45.000Z;null;null
2020-05-25T12:37:00.000Z;127;1300
2020-05-25T12:37:15.000Z;null;null
2020-05-25T12:37:30.000Z;null;null
2020-05-25T12:37:45.000Z;null;null
2020-05-25T12:38:00.000Z;3;1300
2020-05-25T12:38:15.000Z;null;null
2020-05-25T12:38:30.000Z;null;null
2020-05-25T12:38:45.000Z;null;null
2020-05-25T12:39:00.000Z;105;1300
2020-05-25T12:39:15.000Z;null;null
2020-05-25T12:39:30.000Z;null;null
2020-05-25T12:39:45.000Z;null;null
2020-05-25T12:40:00.000Z;58;2500
2020-05-25T12:40:15.000Z;null;null
2020-05-25T12:40:30.000Z;null;null
2020-05-25T12:40:45.000Z;null;null
2020-05-25T12:41:00.000Z;84;1200
2020-05-25T12:41:15.000Z;null;null
2020-05-25T12:41:30.000Z;null;null
2020-05-25T12:41:45.000Z;null;null
2020-05-25T12:42:00.000Z;43;2300
2020-05-25T12:42:15.000Z;null;null
2020-05-25T12:42:30.000Z;null;null
2020-05-25T12:42:45.000Z;null;null
2020-05-25T12:43:00.000Z;63;1100
2020-05-25T12:43:15.000Z;null;null
2020-05-25T12:43:30.000Z;null;null
2020-05-25T12:43:45.000Z;null;null
2020-05-25T12:44:00.000Z;39;1000
2020-05-25T12:44:15.000Z;null;null
2020-05-25T12:44:30.000Z;null;null
2020-05-25T12:44:45.000Z;null;null
2020-05-25T12:45:00.000Z;55;1000
2020-05-25T12:45:15.000Z;null;null
2020-05-25T12:45:30.000Z;null;null
2020-05-25T12:45:45.000Z;null;null
2020-05-25T12:46:00.000Z;34;900
2020-05-25T12:46:15.000Z;null;null
2020-05-25T12:46:30.000Z;null;null
2020-05-25T12:46:45.000Z;null;null
2020-05-25T12:47:00.000Z;58;1700
2020-05-25T12:47:15.000Z;null;null
2020-05-25T12:47:30.000Z;null;null
2020-05-25T12:47:45.000Z;null;null
2020-05-25T12:48:00.000Z;68;800
2020-05-25T12:48:15.000Z;null;null
2020-05-25T12:48:30.000Z;null;null
