Time;Usage default  backend-v1;Usage default  backend-v2
2020-05-25T12:33:45.000Z;null;null
2020-05-25T12:34:00.000Z;2;2
2020-05-25T12:34:15.000Z;null;null
2020-05-25T12:34:30.000Z;null;null
2020-05-25T12:34:45.000Z;null;null
2020-05-25T12:35:00.000Z;2;2
2020-05-25T12:35:15.000Z;null;null
2020-05-25T12:35:30.000Z;null;null
2020-05-25T12:35:45.000Z;null;null
2020-05-25T12:36:00.000Z;2;2
2020-05-25T12:36:15.000Z;null;null
2020-05-25T12:36:30.000Z;null;null
2020-05-25T12:36:45.000Z;null;null
2020-05-25T12:37:00.000Z;592;2
2020-05-25T12:37:15.000Z;null;null
2020-05-25T12:37:30.000Z;null;null
2020-05-25T12:37:45.000Z;null;null
2020-05-25T12:38:00.000Z;609;2
2020-05-25T12:38:15.000Z;null;null
2020-05-25T12:38:30.000Z;null;null
2020-05-25T12:38:45.000Z;null;null
2020-05-25T12:39:00.000Z;568;45
2020-05-25T12:39:15.000Z;null;null
2020-05-25T12:39:30.000Z;null;null
2020-05-25T12:39:45.000Z;null;null
2020-05-25T12:40:00.000Z;688;32
2020-05-25T12:40:15.000Z;null;null
2020-05-25T12:40:30.000Z;null;null
2020-05-25T12:40:45.000Z;null;null
2020-05-25T12:41:00.000Z;367;62
2020-05-25T12:41:15.000Z;null;null
2020-05-25T12:41:30.000Z;null;null
2020-05-25T12:41:45.000Z;null;null
2020-05-25T12:42:00.000Z;578;49
2020-05-25T12:42:15.000Z;null;null
2020-05-25T12:42:30.000Z;null;null
2020-05-25T12:42:45.000Z;null;null
2020-05-25T12:43:00.000Z;303;107
2020-05-25T12:43:15.000Z;null;null
2020-05-25T12:43:30.000Z;null;null
2020-05-25T12:43:45.000Z;null;null
2020-05-25T12:44:00.000Z;null;123
2020-05-25T12:44:15.000Z;null;null
2020-05-25T12:44:30.000Z;null;null
2020-05-25T12:44:45.000Z;null;null
2020-05-25T12:45:00.000Z;630;null
2020-05-25T12:45:15.000Z;null;null
2020-05-25T12:45:30.000Z;null;null
2020-05-25T12:45:45.000Z;null;null
2020-05-25T12:46:00.000Z;null;169
2020-05-25T12:46:15.000Z;null;null
2020-05-25T12:46:30.000Z;null;null
2020-05-25T12:46:45.000Z;null;null
2020-05-25T12:47:00.000Z;484;102
2020-05-25T12:47:15.000Z;null;null
2020-05-25T12:47:30.000Z;null;null
2020-05-25T12:47:45.000Z;null;null
2020-05-25T12:48:00.000Z;169;305
2020-05-25T12:48:15.000Z;null;null
