Time;Usage default  upgradeplanner
2020-05-25T15:57:00.000Z;63
2020-05-25T15:58:00.000Z;36
2020-05-25T15:59:00.000Z;49
2020-05-25T16:00:00.000Z;46
2020-05-25T16:01:00.000Z;35
2020-05-25T16:02:00.000Z;46
2020-05-25T16:03:00.000Z;37
2020-05-25T16:04:00.000Z;58
2020-05-25T16:05:00.000Z;33
2020-05-25T16:06:00.000Z;38
2020-05-25T16:07:00.000Z;40
2020-05-25T16:08:00.000Z;30
2020-05-25T16:09:00.000Z;34
2020-05-25T16:10:00.000Z;34
2020-05-25T16:11:00.000Z;39
2020-05-25T16:12:00.000Z;37
2020-05-25T16:13:00.000Z;17
2020-05-25T16:14:00.000Z;3
2020-05-25T16:15:00.000Z;3
2020-05-25T16:17:00.000Z;null
2020-05-25T16:18:00.000Z;2
2020-05-25T16:19:00.000Z;4
2020-05-25T16:20:00.000Z;2
2020-05-25T16:21:00.000Z;2
2020-05-25T16:22:00.000Z;2
2020-05-25T16:23:00.000Z;1
2020-05-25T16:24:00.000Z;145
2020-05-25T16:25:00.000Z;3
2020-05-25T16:26:00.000Z;3
2020-05-25T16:27:00.000Z;110
2020-05-25T16:28:00.000Z;54
2020-05-25T16:29:00.000Z;81
2020-05-25T16:30:00.000Z;75
2020-05-25T16:31:00.000Z;38
2020-05-25T16:32:00.000Z;61
2020-05-25T16:33:00.000Z;36
2020-05-25T16:34:00.000Z;69
2020-05-25T16:35:00.000Z;37
2020-05-25T16:36:00.000Z;63
2020-05-25T16:37:00.000Z;43
2020-05-25T16:38:00.000Z;31
2020-05-25T16:39:00.000Z;41
2020-05-25T16:40:00.000Z;43
2020-05-25T16:41:00.000Z;70
2020-05-25T16:42:00.000Z;35
2020-05-25T16:43:00.000Z;40
2020-05-25T16:44:00.000Z;33
2020-05-25T16:45:00.000Z;40
2020-05-25T16:46:00.000Z;33
2020-05-25T16:47:00.000Z;28
2020-05-25T16:48:00.000Z;37
2020-05-25T16:49:00.000Z;33
2020-05-25T16:50:00.000Z;28
2020-05-25T16:51:00.000Z;5
2020-05-25T16:52:00.000Z;3
2020-05-25T16:53:00.000Z;3
2020-05-25T16:54:00.000Z;4
2020-05-25T16:55:00.000Z;3
2020-05-25T16:56:00.000Z;2
2020-05-25T16:57:00.000Z;2
